link,data,title
https://old.akharinkhabar.ir,,برای مشاهده نسخه قدیمی وب سایت کلیک کنید
/,,
/,,خانه
/categories,,همه دسته ها
/multimedia,,ویدیوها
/politics,,سیاسی
/sport,,ورزشی
/cinema,,سینما و چهره ها
/social,,جامعه و حوادث
/price/gold,,آخرین قیمت ها
/local,,استانها
/blog,,بلاگ آخرین خبر
/contact,,تماس با ما
/about_us,,درباره ما
/az,,سوالات متداول
/az,,شرایط و قوانین
/,,اخبار برگزیده
/cinema,,سینما و چهره ها
/politics,,سیاسی
/sport,,ورزشی
/world,,بین الملل
/social,,جامعه و حوادث
/dastchin,,جذاب ترين ها
/multimedia,,چند رسانه ای
/money,,اقتصادی
https://vod.akharinkhabar.ir/,,فیلم و سریال
/photo,,عکس
/analysis,,تحلیل ها
/tech,,موبایل و بازی
/music,,موسیقی
/interestings,,دیدنی-خواندنی
/cars,,خودرو
/health,,سلامت
/local,,استانها
/cooking,,آشپزی من
/girly,,دخترونه زنونه
/science,,علم و تکنولوژی
/press,,مطبوعات
/book,,کتاب
/price/gold,,آخرین قیمت ها
/sport/10057653/شکایت-کیفری-پرسپولیس-از-یک-استقلالی,,شکایت کیفری پرسپولیس از یک استقلالی
/sport/10058626/توصیف-پرتغالی‌ها-از-طارمی,,توصیف پرتغالی‌ها از طارمی
/sport/10058548/برترین‌های-فصل-لوشامپیونه-معرفی-شدند,,برترین‌های فصل لوشامپیونه معرفی شدند
/sport/10058471/بازتاب-صدرنشینی-دوباره-استقلال-در-رسانه‌های-ازبکستان,,بازتاب صدرنشینی دوباره استقلال در رسانه‌های ازبکستان
/sport/10058365/شرط-ستاره-ازبک-برای-ماندن-در-پرسپولیس,,شرط ستاره ازبک برای ماندن در پرسپولیس
/sport/10058328/صعود-چشمگیر-نابغه-ایرانی-در-رنکینگ-جهانی,,صعود چشمگیر نابغه ایرانی در رنکینگ جهانی
/sport/10058942/برگزاری-دومین-جلسه-کارگروه-عالی-نظارت-بر-مسابقات,,
/sport,,ورزشی
/sport/10058942/برگزاری-دومین-جلسه-کارگروه-عالی-نظارت-بر-مسابقات,,برگزاری دومین جلسه کارگروه عالی نظارت بر مسابقات
/sport/10058939/برای-ستاره-والیبال-ایران-رقیب-جذب-کردند,,
/sport,,ورزشی
/sport/10058939/برای-ستاره-والیبال-ایران-رقیب-جذب-کردند,,برای ستاره والیبال ایران رقیب جذب کردند!
/sport/10058932/جلالی-هوادار-استقلال-را-به-آرزویش-رساند,,
/sport,,ورزشی
/sport/10058932/جلالی-هوادار-استقلال-را-به-آرزویش-رساند,,جلالی هوادار استقلال را به آرزویش رساند
/sport/10058924/مسئله-زمان-و-تکمیل-انتقال-طارمی-به-اینتر,,
/sport,,ورزشی
/sport/10058924/مسئله-زمان-و-تکمیل-انتقال-طارمی-به-اینتر,,مسئله زمان و تکمیل انتقال طارمی به اینتر
/sport/10058921/انریکه-در-پاریس-از-آخر-اول-شد,,
/sport,,ورزشی
/sport/10058921/انریکه-در-پاریس-از-آخر-اول-شد,,انریکه در پاریس از آخر اول شد!
/sport/10058919/ساوتگیت-راز-موفقیت-بلینگام-در-رئال-را-گفت,,
/sport,,ورزشی
/sport/10058919/ساوتگیت-راز-موفقیت-بلینگام-در-رئال-را-گفت,,ساوتگیت راز موفقیت بلینگام در رئال را گفت
/sport/10058917/تسلیت-کمیته-بین‌المللی-پارالمپیک-برای-درگذشت-رشید-مسجدی,,
/sport,,ورزشی
/sport/10058917/تسلیت-کمیته-بین‌المللی-پارالمپیک-برای-درگذشت-رشید-مسجدی,,تسلیت کمیته بین‌المللی پارالمپیک برای درگذشت رشید مسجدی
/sport/10058916/۷-مدال-حاصل-تلاش-نمایندگان-پومسه-در-روز-نخست-قهرمانی-آسیا,,
/sport,,ورزشی
/sport/10058916/۷-مدال-حاصل-تلاش-نمایندگان-پومسه-در-روز-نخست-قهرمانی-آسیا,,۷ مدال حاصل تلاش نمایندگان پومسه در روز نخست قهرمانی آسیا
/sport/10058915/امباپه-هیجان‌زده-برای-چالش-جدید,,
/sport,,ورزشی
/sport/10058915/امباپه-هیجان‌زده-برای-چالش-جدید,,امباپه هیجان‌زده برای چالش جدید
/sport/10058907/مصاف-پیشکسوتان-تراکتور-و-استقلال-در-تبریز,,
/sport,,ورزشی
/sport/10058907/مصاف-پیشکسوتان-تراکتور-و-استقلال-در-تبریز,,مصاف پیشکسوتان تراکتور و استقلال در تبریز
/cinema/10058940,,ماجرای فیلم «فردوسی» که توقیف شد/دستکاری بزرگ در تاریخ سینما!سینما و چهره ها . -23 دقیقه پیش
/cars/10058732,,اولین تصاویر از بائو ۸؛ محصول جدید بی وای دی برای رقابت با لندروور دیفندرخودرو . -23 دقیقه پیش
/sport/10058939,,برای ستاره والیبال ایران رقیب جذب کردند!ورزشی . -23 دقیقه پیش
/cooking/10058288,,آموزش یک تاکوی سالم و رژیمیآشپزی من . -22 دقیقه پیش
/sport/10058932,,جلالی هوادار استقلال را به آرزویش رساندورزشی . -14 دقیقه پیش
/world/10058929,,فرار شهرک‌نشینان صهیونیست لحظه شلیک موشک به سدیروتبین الملل . -13 دقیقه پیش
/politics/10058928,,رئیس‌جمهور وارد مشهد شدسیاسی . -13 دقیقه پیش
/about_us,,دانلود اپلیکیشن آخرین خبر
